编号,类别,图题或文件主题,参考来源,原发布页,作者,台账许可线索,本次处理
XIAO-145-4-74,教材PDF裁图候选,图4-74 四个影响因素与η 的函数关系曲线,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-145-4-75,教材PDF裁图候选,图4-75 柔性系杆刚性拱 图4-76 柔性系杆刚性拱计算模型,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-146-4-77,教材PDF裁图候选,图4-77 刚性系梁柔性拱 图4-78 刚性系梁柔性拱计算模型,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-146-4-79,教材PDF裁图候选,图4-79 刚性系梁刚性拱,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-147-4-80,教材PDF裁图候选,图4-80 活载作用下随,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-147-4-81,教材PDF裁图候选,图4-81 活载作用下随,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-148-4-82,教材PDF裁图候选,图4-82 随,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-149-4-85,教材PDF裁图候选,图4-85 单位均布荷载下N 、,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-150-4-86,教材PDF裁图候选,图4-86 单位均布荷载下桥例,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-151-4-88,教材PDF裁图候选,图4-88 单位均布荷载下桥例,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-154-4-89,教材PDF裁图候选,图4-89 三跨体系的典型布置,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-156-4-90,教材PDF裁图候选,图4-90 拱轴上不同荷载布置方式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-159-4-91,教材PDF裁图候选,图4-91 直吊杆与斜吊杆布置,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-159-4-92,教材PDF裁图候选,图4-92 固定变化斜吊杆形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-160-4-93,教材PDF裁图候选,图4-93 径向布置形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-160-4-94,教材PDF裁图候选,图4-94 不同吊杆形式的系杆拱桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-160-4-95,教材PDF裁图候选,图4-95 拱肋的内力影响线,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-161-4-96,教材PDF裁图候选,图4-96 系杆的内力影响线,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-161-4-97,教材PDF裁图候选,图4-97 吊杆的内力影响线,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-161-4-98,教材PDF裁图候选,图4-98 系杆的挠度影响线,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-163-4-99,教材PDF裁图候选,图4-99 三座拱桥的立面布置图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-164-4-100,教材PDF裁图候选,图4-100 重庆菜园坝大桥总图布置图(m),用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-164-4-101,教材PDF裁图候选,图4-101 中承式系梁拱桥边跨有无立杆设置对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-164-4-102,教材PDF裁图候选,图4-102 Y 形刚构及系梁中拱传力路径示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-165-4-103,教材PDF裁图候选,图4-103 南京大胜关长江大桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-166-4-104,教材PDF裁图候选,图4-104 大桥横断面布置,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-166-4-105,教材PDF裁图候选,图4-105 主桥总体布置图（mm）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-167-4-106,教材PDF裁图候选,图4-106 卢浦大桥结构体系简图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-167-4-107,教材PDF裁图候选,图4-107 卢浦大桥施工图片,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-167-4-108,教材PDF裁图候选,图4-108 日本新浜寺桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-168-4-109,教材PDF裁图候选,图4-109 日本新浜寺桥总体布置图（mm）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-168-4-110,教材PDF裁图候选,图4-110 NS 锚具的构造（cm）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-169-4-111,教材PDF裁图候选,图4-111 温州南塘河大桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-169-4-112,教材PDF裁图候选,图4-112 非保向力系对拱稳定的影响,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-169-4-113,教材PDF裁图候选,图4-113 无风撑桥面效果图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-170-4-114,教材PDF裁图候选,图4-114 昆山玉峰大桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-170-4-115,教材PDF裁图候选,图4-115 无推力斜靠拱体系传力路径示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-172-5-1,教材PDF裁图候选,图5-1 爪哇的竹斜拉桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-172-5-2,教材PDF裁图候选,图5-2 英国Niemburg 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-173-5-3,教材PDF裁图候选,图5-3 Roebling 体系,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-173-5-4,教材PDF裁图候选,图5-4 Dichinger 体系,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-173-5-5,教材PDF裁图候选,图5-5 瑞典Strömsund 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-174-5-6,教材PDF裁图候选,图5-6 德国Theodor-Heuss 桥 图5-7 德国科隆Severin 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-174-5-8,教材PDF裁图候选,图5-8 委内瑞拉Maracaibo Lake 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-175-5-11,教材PDF裁图候选,图5-11 法国Brotonne 桥 图5-12 美国Pasco Kennewick 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-175-5-13,教材PDF裁图候选,图5-13 西班牙Luna 桥 图5-14 部分地锚斜拉桥跨中加劲梁产生拉力,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-175-5-9,教材PDF裁图候选,图5-9 Friedrich Ebert 桥 图5-10 Höchst Main 河二桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-176-5-15,教材PDF裁图候选,图5-15 美国East Huntington 桥 图5-16 无背索斜拉桥——西班牙Alamillo 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-176-5-17,教材PDF裁图候选,图5-17 反拱形梁桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-177-5-18,教材PDF裁图候选,图5-18 甘特桥 图5-19 小田原港桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-177-5-20,教材PDF裁图候选,图5-20 芜湖长江大桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-177-5-21,教材PDF裁图候选,图5-21 希腊Rion-Antirion 桥及索塔基础示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-178-5-22,教材PDF裁图候选,图5-22 俄罗斯Russky Island 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-178-5-23,教材PDF裁图候选,图5-23 斜拉-悬吊组合体系,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-178-5-24,教材PDF裁图候选,图5-24 部分地锚—斜拉—悬吊组合体系,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-179-5-25,教材PDF裁图候选,图5-25 斜拉桥跨径记录的发展历程,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-179-5-26,教材PDF裁图候选,图5-26 斜拉桥结构示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-180-5-27,教材PDF裁图候选,图5-27 斜拉桥荷载传递路径示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-180-5-28,教材PDF裁图候选,图5-28 连续梁桥和斜拉桥恒载弯矩比较图 图5-29 自锚式斜拉桥轴力图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-181-5-30,教材PDF裁图候选,图5-30 斜拉桥索塔的组成,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-183-5-31,教材PDF裁图候选,图5-31 斜拉桥四种空间索体系布置,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-184-5-32,教材PDF裁图候选,图5-32 索塔纵桥向变化形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-184-5-33,教材PDF裁图候选,图5-33 索塔横桥向变化形式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-185-5-34,教材PDF裁图候选,图5-34 独塔斜拉桥边跨拉索和锚块(墩)的连结,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-185-5-35,教材PDF裁图候选,图5-35 典型的独塔单跨地锚斜拉桥体系桥例(m),用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-186-5-36,教材PDF裁图候选,图5-36 双塔地锚斜拉桥主梁轴力示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-186-5-37,教材PDF裁图候选,图5-37 双塔自锚斜拉桥主梁轴力示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-186-5-38,教材PDF裁图候选,图5-38 主梁轴力计算简图（均布恒载）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-187-5-39,教材PDF裁图候选,图5-39 主梁轴力计算简图（集中荷载）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-188-5-40,教材PDF裁图候选,图5-40 双塔部分地锚斜拉桥主梁轴力示意图 图5-41 部分地锚体系斜拉桥计算简图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-188-5-42,教材PDF裁图候选,图5-42 西班牙Luna 桥,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-189-5-43,教材PDF裁图候选,图5-43 主跨1400m 部分地锚斜拉桥方案总体布置(m),用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-189-5-44,教材PDF裁图候选,图5-44 主跨1400m 部分地锚斜拉桥方案斜拉索面积(m2),用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-190-5-45,教材PDF裁图候选,图5-45 成桥恒载状态对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-191-5-46,教材PDF裁图候选,图5-46 活载效应对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-191-5-47,教材PDF裁图候选,图5-47 双塔斜拉桥纵风作用下结构响应示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-191-5-48,教材PDF裁图候选,图5-48 极限静纵风效应对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-192-5-49,教材PDF裁图候选,图5-49 极限静侧风效应对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-192-5-50,教材PDF裁图候选,图5-50 部分地锚斜拉桥成桥状态一阶失稳模态,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-192-5-51,教材PDF裁图候选,图5-51 稳定安全系数对比 图5-52 自振频率对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-193-5-53,教材PDF裁图候选,图5-53 活载效应对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-194-5-54,教材PDF裁图候选,图5-54 极限静侧风效应对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-194-5-55,教材PDF裁图候选,图5-55 极限静纵风效应对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-194-5-56,教材PDF裁图候选,图5-56 稳定安全系数对比 图5-57 自振频率对比,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-196-5-58,教材PDF裁图候选,图5-58 斜拉桥体系塔、墩、梁的四种基本连接方式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-196-5-59,教材PDF裁图候选,图5-59 大跨径斜拉桥的塔梁纵向连接方式,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-197-5-60,教材PDF裁图候选,图5-60 双薄壁柔性墩连续刚构体系,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-197-5-61,教材PDF裁图候选,图5-61 斜拉桥四种基本体系主梁受力图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-200-5-62,教材PDF裁图候选,图5-62 梁端水平位移图(mm) 图5-63 地震作用下结构位移和内力图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-201-5-64,教材PDF裁图候选,图5-64 塔顶位移随弹性约束刚度变化曲线,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-201-5-65,教材PDF裁图候选,图5-65 塔底弯矩组合随弹性约束刚度变化曲线,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-201-5-66,教材PDF裁图候选,图5-66 塔顶地震位移随刚度变化曲线,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-201-5-68,教材PDF裁图候选,图5-68 粘滞性限位阻尼器结构示意 图5-69 单个阻尼器力—位移关系,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-202-5-70,教材PDF裁图候选,图5-70 阻尼器弹性刚度参数取值对静力反应的影响（极大风）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-203-5-71,教材PDF裁图候选,图5-71 阻尼器参数取值对地震反应的影响,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-205-5-72,教材PDF裁图候选,图5-72 主跨1400m 自锚式斜拉桥立面布置图(m),用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-205-5-73,教材PDF裁图候选,图5-73 主跨1400m 斜拉桥方案斜拉索面积(m2),用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-206-5-74,教材PDF裁图候选,图5-74 典型截面特性与梁高,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-206-5-75,教材PDF裁图候选,图5-75 主梁高度变化对结构力学性能的影响,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-207-5-76,教材PDF裁图候选,图5-76 不同梁高下活载单项作用主梁上、下缘应力（kPa）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-207-5-77,教材PDF裁图候选,图5-77 不同梁高下索塔活载弯矩包络图（kN·m）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-207-5-78,教材PDF裁图候选,图5-78 不同梁高下斜拉索应力幅比较（kPa）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-209-5-79,教材PDF裁图候选,图5-79 索塔刚度变化对结构力学性能的影响,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-209-5-80,教材PDF裁图候选,图5-80 三种模型索塔典型截面参数比较,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-210-5-81,教材PDF裁图候选,图5-81 不同索塔截面参数下索塔活载弯矩包络比较（kN·m）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-210-5-82,教材PDF裁图候选,图5-82 不同索塔截面参数下主梁活载弯矩包络比较（kN·m）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-211-5-83,教材PDF裁图候选,图5-83 不同索塔截面参数下斜拉索活载应力幅比较（kPa）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-212-5-84,教材PDF裁图候选,图5-84 倍增后的斜拉索截面面积(m2),用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-212-5-85,教材PDF裁图候选,图5-85 活载作用下受力状态图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-213-5-86,教材PDF裁图候选,图5-86 三跨式斜拉桥总体布置示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-214-5-87,教材PDF裁图候选,图5-87 锚索索力与主梁加载情况,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-214-5-88,教材PDF裁图候选,图5-88 斜拉桥边中跨比的参数研究,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-215-5-89,教材PDF裁图候选,图5-89 主梁宽度变化对结构力学性能的影响,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-217-5-90,教材PDF裁图候选,图5-90 索塔高度变化对结构力学性能的影响,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-217-5-91,教材PDF裁图候选,图5-91 恒载索力比较（kN）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-217-5-92,教材PDF裁图候选,图5-92 斜拉索面积比较（m2）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-217-5-93,教材PDF裁图候选,图5-93 恒载主梁轴力比较（kN）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-220-5-94,教材PDF裁图候选,图5-94 恒载索力比较（kN）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-220-5-95,教材PDF裁图候选,图5-95 恒载主梁轴力比较（kN）,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-222-5-96,教材PDF裁图候选,图5-96 主梁轴力的参数研究,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-223-5-97,教材PDF裁图候选,图5-97 主梁挠度计算示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-225-5-98,教材PDF裁图候选,图5-98 中跨主梁跨中挠度的参数研究,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-226-5-99,教材PDF裁图候选,图5-99 集中荷载作用下的地基梁,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-227-5-100,教材PDF裁图候选,图5-100 主梁弯矩的参数研究,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-228-5-101,教材PDF裁图候选,图5-101 主梁的“钟摆效应”,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-228-5-102,教材PDF裁图候选,图5-102 主梁侧向挠曲示意图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
XIAO-228-5-103,教材PDF裁图候选,图5-103 三跨连续梁弯矩分布图,用户已有参考PDF《桥梁结构体系》,,,内部选图；正式出版前授权或重绘,外部参考候选：本次不公开原图；逐图授权或独立制图
